YEAR,REGION,ISLAND,MISSION,SITE,DATE,LATITUDE,LONGITUDE,SURVEY_SIZE,NUMBER OF IMAGES,FIRST_IMAGE,LAST_IMAGE,0M_MARKER_NUMBERS,0M_DEPTH_FT,5M_MARKER_NUMBERS,5M_DEPTH_FT,10M_MARKER_NUMBERS,10M_DEPTH_FT,15M_MARKER_NUMBERS,15M_DEPTH_FT,20M_MARKER_NUMBERS,20M_DEPTH_FT,CAMERA_MODEL,LENS_FOCAL_LENGTH,EXPOSURE_CORRECTION,COLOR_CORRECTED
2019,MHI,HAW,SE1902,HAW-3441,5/4/2019,20.06521,-155.38187,12m,4045,NCRMP_SFM_FIXED_2019_SE1902_MHI_HAW_HAW-3441_IMG_0001.JPG,NCRMP_SFM_FIXED_2019_SE1902_MHI_HAW_HAW-3441_IMG_4045.JPG,"3,4",37,"57,58",37,,,,,,,Canon SL2,18mm,Y,N
2019,MHI,HAW,SE1902,HAW-SIO-997,7/16/2019,19.97006,-155.8485,12m,3128,NCRMP_SFM_FIXED_2019_SE1902_MHI_HAW_HAW-SIO-997_IMG_0001.JPG,NCRMP_SFM_FIXED_2019_SE1902_MHI_HAW_HAW-SIO-997_IMG_3128.JPG,"33,34",30,"74,75",30,"87,88",31,,,,,Canon SL2,18mm,N,N
2019,MHI,HAW,SE1902,HAW-SIO-K08,7/19/2019,19.42335,-155.91302,12m,2331,NCRMP_SFM_FIXED_2019_SE1902_MHI_HAW_HAW-SIO-K08_IMG_0001.JPG,NCRMP_SFM_FIXED_2019_SE1902_MHI_HAW_HAW-SIO-K08_IMG_2331.JPG,"28,27",31,"18,17",33,"93,94",34,,,,,Canon SL2,18mm,Y,N
2019,MHI,HAW,SE1902,HAW-SIO-K09,7/17/2019,19.46275,-155.9268,12m,3290,NCRMP_SFM_FIXED_2019_SE1902_MHI_HAW_HAW-SIO-K09_IMG_0001.JPG,NCRMP_SFM_FIXED_2019_SE1902_MHI_HAW_HAW-SIO-K09_IMG_3290.JPG,"33,34",38,"74,75",37,"87,88",39,,,,,Canon SL2,18mm,N,N
2019,MHI,HAW,SE1902,HAW-SIO-K10,7/17/2019,19.64217,-156.0122,12m,3331,NCRMP_SFM_FIXED_2019_SE1902_MHI_HAW_HAW-SIO-K10_IMG_0001.JPG,NCRMP_SFM_FIXED_2019_SE1902_MHI_HAW_HAW-SIO-K10_IMG_3331.JPG,"33,34",37,"74,75",37,"87,88",33,,,,,Canon SL2,18mm,N,N
2019,MHI,KAH,SE1902,KAH-SIO-S01,4/25/2019,20.60532,-156.567,12m,3493,NCRMP_SFM_FIXED_2019_SE1902_MHI_KAH_KAH-SIO-S01_IMG_0001.JPG,NCRMP_SFM_FIXED_2019_SE1902_MHI_KAH_KAH-SIO-S01_IMG_3493.JPG,"3,4",29,"17,18",32,,,,,,,Canon SL2,18mm,N,N
2019,MHI,KAH,SE1902,KAH-SIO-S03,4/25/2019,20.60048,-156.56,12m,4177,NCRMP_SFM_FIXED_2019_SE1902_MHI_KAH_KAH-SIO-S03_IMG_0001.JPG,NCRMP_SFM_FIXED_2019_SE1902_MHI_KAH_KAH-SIO-S03_IMG_4177.JPG,"3,4",38,"17,18",37,,,,,,,Canon SL2,18mm,N,N
2019,MHI,KAH,SE1902,KAH-SIO-S04,5/6/2019,20.52531,-156.71,12m,3124,NCRMP_SFM_FIXED_2019_SE1902_MHI_KAH_KAH-SIO-S04_IMG_0001.JPG,NCRMP_SFM_FIXED_2019_SE1902_MHI_KAH_KAH-SIO-S04_IMG_3124.JPG,"3,4",36,"17,18",37,,,,,,,Canon SL2,18mm,N,N
2019,MHI,KAH,SE1902,KAH-SIO-S05,4/25/2019,20.60489,-156.578,12m,2023,NCRMP_SFM_FIXED_2019_SE1902_MHI_KAH_KAH-SIO-S05_IMG_0001.JPG,NCRMP_SFM_FIXED_2019_SE1902_MHI_KAH_KAH-SIO-S05_IMG_2023.JPG,"3,4",36,"17,18",34,,,,,,,Canon SL2,18mm,N,N
2019,MHI,KAH,SE1902,KAH-SIO-S08,4/25/2019,20.56139,-156.661,12m,3918,NCRMP_SFM_FIXED_2019_SE1902_MHI_KAH_KAH-SIO-S08_IMG_0001.JPG,NCRMP_SFM_FIXED_2019_SE1902_MHI_KAH_KAH-SIO-S08_IMG_3918.JPG,"3,4",29,"17,18",29,,,,,,,Canon SL2,18mm,N,N
